,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,listed_in1,listed_in2,listed_in3,duration_seasons
6649,s404,TV Show,The Movies That Made Us,Not Given,United States,2021-07-23,2021,TV-MA,2 Seasons,Docuseries,Docuseries,0,0,
6650,s426,TV Show,Chicago Med,Not Given,United States,2021-07-22,2019,TV-14,5 Seasons,TV Dramas,TV Dramas,0,0,
6651,s435,TV Show,Okupas,Not Given,Argentina,2021-07-20,2020,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows",Classic & Cult TV, Crime TV Shows, International TV Shows,
6652,s441,TV Show,Explained,Not Given,United States,2021-07-16,2021,TV-MA,3 Seasons,"Docuseries, Science & Nature TV",Docuseries, Science & Nature TV,0,
6653,s443,TV Show,Johnny Test,Not Given,United States,2021-07-16,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",Kids' TV, TV Comedies,0,
6654,s454,TV Show,BEASTARS,Not Given,Japan,2021-07-15,2021,TV-MA,2 Seasons,"Anime Series, International TV Shows",Anime Series, International TV Shows,0,
6655,s457,TV Show,Her Private Life,Not Given,South Korea,2021-07-15,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows, Romantic TV Shows, TV Comedies,
6656,s460,TV Show,Never Have I Ever,Not Given,United States,2021-07-15,2021,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies, TV Dramas, Teen TV Shows,
6657,s473,TV Show,Ridley Jones,Not Given,United States,2021-07-13,2021,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
6658,s478,TV Show,Atypical,Not Given,United States,2021-07-09,2021,TV-14,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows",TV Comedies, TV Dramas, Teen TV Shows,
6659,s479,TV Show,Biohackers,Not Given,Germany,2021-07-09,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",International TV Shows, TV Dramas, TV Sci-Fi & Fantasy,
6660,s400,TV Show,Masters of the Universe: Revelation,Not Given,Pakistan,2021-07-23,2021,TV-PG,1 Season,"TV Action & Adventure, TV Sci-Fi & Fantasy",TV Action & Adventure, TV Sci-Fi & Fantasy,0,
6661,s489,TV Show,Virgin River,Not Given,United States,2021-07-09,2021,TV-14,3 Seasons,"Romantic TV Shows, TV Dramas",Romantic TV Shows, TV Dramas,0,
6662,s494,TV Show,RESIDENT EVIL: Infinite Darkness,Not Given,United States,2021-07-08,2021,TV-MA,1 Season,"Anime Series, TV Horror, TV Thrillers",Anime Series, TV Horror, TV Thrillers,
6663,s500,TV Show,Dogs,Not Given,United States,2021-07-07,2021,TV-PG,2 Seasons,Docuseries,Docuseries,0,0,
6664,s510,TV Show,Ask the StoryBots,Not Given,United States,2021-07-06,2019,TV-Y,3 Seasons,Kids' TV,Kids' TV,0,0,
6665,s511,TV Show,Between,Not Given,Canada,2021-07-06,2016,TV-14,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows, TV Dramas, TV Mysteries,
6666,s512,TV Show,Chelsea,Not Given,United States,2021-07-06,2017,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",Stand-Up Comedy & Talk Shows, TV Comedies,0,
6667,s513,TV Show,Code Lyoko,Not Given,France,2021-07-06,2007,TV-Y7,4 Seasons,Kids' TV,Kids' TV,0,0,
6668,s514,TV Show,Colony,Not Given,United States,2021-07-06,2018,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy,
6669,s515,TV Show,Cuckoo,Not Given,United Kingdom,2021-07-06,2019,TV-MA,5 Seasons,"British TV Shows, International TV Shows, TV Comedies",British TV Shows, International TV Shows, TV Comedies,
6670,s516,TV Show,Derry Girls,Not Given,United Kingdom,2021-07-06,2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies",British TV Shows, International TV Shows, TV Comedies,
6671,s534,TV Show,Shtisel,Not Given,Israel,2021-07-06,2021,TV-14,3 Seasons,"International TV Shows, TV Dramas",International TV Shows, TV Dramas,0,
6672,s517,TV Show,Girl from Nowhere,Not Given,Thailand,2021-07-06,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",International TV Shows, TV Dramas, TV Mysteries,
6673,s518,TV Show,Good Morning Call,Not Given,Japan,2021-07-06,2017,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",International TV Shows, Romantic TV Shows, TV Comedies,
6674,s520,TV Show,I AM A KILLER,Not Given,United Kingdom,2021-07-06,2020,TV-MA,2 Seasons,"British TV Shows, Crime TV Shows, Docuseries",British TV Shows, Crime TV Shows, Docuseries,
6676,s521,TV Show,I Think You Should Leave with Tim Robinson,Not Given,United States,2021-07-06,2021,TV-MA,2 Seasons,TV Comedies,TV Comedies,0,0,
6677,s522,TV Show,Kim's Convenience,Not Given,Canada,2021-07-06,2021,TV-MA,5 Seasons,"International TV Shows, TV Comedies",International TV Shows, TV Comedies,0,
6678,s523,TV Show,Larva,Not Given,Russia,2021-07-06,2015,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",Kids' TV, Korean TV Shows, TV Comedies,
6679,s524,TV Show,Marcella,Not Given,United Kingdom,2021-07-06,2019,TV-MA,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",British TV Shows, Crime TV Shows, International TV Shows,
6680,s525,TV Show,Midnight Diner: Tokyo Stories,Not Given,Japan,2021-07-06,2019,TV-MA,2 Seasons,"International TV Shows, TV Dramas",International TV Shows, TV Dramas,0,
6681,s526,TV Show,My Little Pony: Friendship Is Magic,Not Given,United States,2021-07-06,2018,TV-Y,8 Seasons,Kids' TV,Kids' TV,0,0,
6682,s527,TV Show,Orange Is the New Black,Not Given,United States,2021-07-06,2019,TV-MA,7 Seasons,"TV Comedies, TV Dramas",TV Comedies, TV Dramas,0,
6683,s528,TV Show,Puffin Rock,Not Given,Ireland,2021-07-06,2016,TV-Y,2 Seasons,Kids' TV,Kids' TV,0,0,
6684,s531,TV Show,Richie Rich,Not Given,United States,2021-07-06,2015,TV-G,2 Seasons,"Kids' TV, TV Comedies",Kids' TV, TV Comedies,0,
6685,s533,TV Show,Scream,Not Given,United States,2021-07-06,2019,TV-MA,3 Seasons,"Crime TV Shows, TV Horror, TV Mysteries",Crime TV Shows, TV Horror, TV Mysteries,
6686,s589,TV Show,Rainbow Rangers,Not Given,United States,2021-07-01,2018,TV-Y,1 Season,Kids' TV,Kids' TV,0,0,
6687,s536,TV Show,Some Assembly Required,Not Given,Canada,2021-07-06,2015,TV-Y,2 Seasons,"Kids' TV, TV Comedies",Kids' TV, TV Comedies,0,
6688,s537,TV Show,Tales by Light,Not Given,Australia,2021-07-06,2018,TV-14,3 Seasons,"Docuseries, International TV Shows, Science & Nature TV",Docuseries, International TV Shows, Science & Nature TV,
6689,s538,TV Show,Terrace House: Opening New Doors,Not Given,Japan,2021-07-06,2018,TV-14,6 Seasons,"International TV Shows, Reality TV",International TV Shows, Reality TV,0,
6690,s539,TV Show,The A List,Not Given,United Kingdom,2021-07-06,2021,TV-PG,2 Seasons,"British TV Shows, International TV Shows, TV Dramas",British TV Shows, International TV Shows, TV Dramas,
6691,s540,TV Show,The New Legends of Monkey,Not Given,Australia,2021-07-06,2020,TV-PG,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy,
6692,s541,TV Show,The Worst Witch,Not Given,United Kingdom,2021-07-06,2020,TV-G,4 Seasons,"British TV Shows, Kids' TV",British TV Shows, Kids' TV,0,
6693,s544,TV Show,Undercover,Not Given,Belgium,2021-07-06,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Crime TV Shows, International TV Shows, TV Action & Adventure,
6694,s545,TV Show,Workin' Moms,Not Given,Canada,2021-07-06,2021,TV-MA,5 Seasons,"International TV Shows, TV Comedies",International TV Shows, TV Comedies,0,
6695,s546,TV Show,YooHoo to the Rescue,Not Given,South Korea,2021-07-06,2020,TV-Y,3 Seasons,"Kids' TV, Korean TV Shows",Kids' TV, Korean TV Shows,0,
6696,s548,TV Show,We the People,Not Given,United States,2021-07-04,2021,TV-Y7,1 Season,Kids' TV,Kids' TV,0,0,
6697,s549,TV Show,Grey's Anatomy,Not Given,United States,2021-07-03,2020,TV-14,17 Seasons,"Romantic TV Shows, TV Dramas",Romantic TV Shows, TV Dramas,0,
6698,s554,TV Show,Mortel,Not Given,France,2021-07-02,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Crime TV Shows, International TV Shows, TV Dramas,
6699,s566,TV Show,Bureau of Magical Things,Not Given,Australia,2021-07-01,2020,TV-G,1 Season,"International TV Shows, Kids' TV, TV Mysteries",International TV Shows, Kids' TV, TV Mysteries,
6700,s618,TV Show,Young Royals,Not Given,Sweden,2021-07-01,2021,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",International TV Shows, Romantic TV Shows, TV Dramas,
6701,s621,TV Show,Droppin' Cash: Los Angeles,Not Given,United States,2021-06-30,2019,TV-MA,1 Season,Reality TV,Reality TV,0,0,
6702,s626,TV Show,Somos.,Not Given,Mexico,2021-06-30,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Crime TV Shows, International TV Shows, Spanish-Language TV Shows,
6703,s628,TV Show,The Daily Life of the Immortal King,Not Given,China,2021-06-30,2020,TV-14,1 Season,"Anime Series, International TV Shows, Teen TV Shows",Anime Series, International TV Shows, Teen TV Shows,
6704,s629,TV Show,StarBeam,Not Given,United States,2021-06-29,2021,TV-Y,4 Seasons,Kids' TV,Kids' TV,0,0,
6705,s632,TV Show,The Seven Deadly Sins,Not Given,Japan,2021-06-28,2021,TV-14,5 Seasons,"Anime Series, International TV Shows",Anime Series, International TV Shows,0,
